S. No.,State Name/UT,Dropout Rate (Secondary) - 2014-15,Dropout Rate (Secondary) - 2015-16,Dropout Rate (Secondary) - 2016-17
1,Andaman & Nicobar Islands,7.2,9.87,7.36
2,Andhra Pradesh,12.65,15.71,#
3,Arunachal Pradesh,14.49,17.11,29.93
4,Assam,30.43,27.06,27.6
5,Bihar,25.33,25.9,39.73
6,Chandigarh,0,0,0
7,Chhattisgarh,23.41,21.26,24.23
8,Dadra & Nagar Haveli,28.59,16.77,27.96
9,Daman & Diu,19.86,32.27,19.52
10,Delhi,8.9,11.81,10.75
11,Goa,9.58,11.15,16.01
12,Gujarat,21.61,25.04,24.08
13,Haryana,12.51,15.89,12.16
14,Himachal Pradesh,9.09,6.07,7.03
15,Jammu & Kashmir,15.36,17.28,24.35
16,Jharkhand,23.15,24,36.64
17,Karnataka,27.57,26.18,#
18,Kerala,14.46,12.32,12.77
19,Lakshadweep,8.03,6.76,5.8
20,Madhya Pradesh,26.47,24.77,23.76
21,Maharashtra,14.47,12.87,11.28
22,Manipur,13.81,14.38,21.05
23,Meghalaya,24.75,20.52,28.07
24,Mizoram,18.7,21.88,30.67
25,Nagaland,35.11,18.23,31.28
26,Odisha,49.48,29.56,28.87
27,Puduchery,14.24,12.19,12.65
28,Punjab,8.83,8.86,8.6
29,Rajasthan,18.77,13.48,15.19
30,Sikkim,12.89,15.89,24.15
31,Tamil Nadu,12.2,8.1,10.03
32,Telangana,17.43,15.53,22.49
33,Tripura,25.09,28.42,29.76
34,Uttar Pradesh,7.3,10.22,12.71
35,Uttarakhand,8.7,10.4,9.09
36,West Bengal,18.34,17.8,26.93
